	225
Amphitheater	64
August 2018	64
Bob Yassin	60
Charles Venable	20
Children	6
Curator	6
Ellen Lee	40
Fun	64
Indianapolis Museum of Art	6
Indy Urban Hardwood	17
Intern	23
Internships	23
Jaime Frye	3
July 2018	23
Kelli Morgan	6
Newfields	6
Patrons	64
Performance	64
Red Baraat	64
Robert Yassin	60
Summer 2018	87
Summer Camps 2018	6
Volunteers	142
